filename,start,end,content,techniques,persuasion_strategies,Attack_on_Reputation,Justification,Distraction,Simplification,Call,Manipulative_Wording
pl_abortion_11_04_2024_n07.txt,3137,3273,"Zamiast: twoje ciało, twój wybór, zasługuje na to, żeby usłyszeć: nasze dziecko, nasza odpowiedzialność. (Oklaski) (Głos z sali: Brawo!)",['Appeal_to_Values'],['Justification'],False,True,False,False,False,False
pl_defence_07_03_2025_n07.txt,6249,6433,"Proszę państwa, dzisiaj kluczowe jest szybkie pogłębianie współpracy obronnej z krajami skandynawskimi, które mają podobną percepcję ryzyka do naszej. (Poseł Przemysław Wipler: Brawo!)","['Appeal_to_Time', 'Appeal_to_Values']","['Justification', 'Call']",False,True,False,False,True,False
pl_eu_03_04_2025_n03.txt,8435,8487,"Rozumiem, że cieszymy się wspólnie, że to się udało.",[],[],False,False,False,False,False,False
pl_hate_speech_act_19_12_2024_n01.txt,5475,5702,"Jeżeli bowiem spojrzymy na te przepisy traktatów i naszej konstytucji, o których mówiłem we wstępie wypowiedzi, i na to, jak definiowana jest i w czym przejawia się mowa nienawiści… Przejdźmy na grunt polskiego Kodeksu karnego.","['Obfuscation-Vagueness-Confusion', 'Appeal_to_Authority']","['Justification', 'Manipulative_Wording']",False,True,False,False,False,True
pl_abortion_11_04_2024_n09.txt,2119,2306,"Oburzający jest również projekt Trzeciej Drogi, projekt firmowany przez PSL, który chce rozpisać referendum w sprawie zgody na zabijanie bezbronnych. (Poseł Ewa Szymanowska: Tego nie ma…)","['Exaggeration-Minimisation', 'Loaded_Language', 'Appeal_to_Fear-Prejudice']","['Justification', 'Manipulative_Wording']",False,True,False,False,False,True
pl_abortion_11_04_2024_n02.txt,5620,5683,Dlatego apeluję do wszystkich posłów i posłanek: usłyszcie nas.,['Slogans'],['Call'],False,False,False,False,True,False
pl_defence_07_03_2025_n04.txt,1383,1422,"Niech on płaci za zło, które wyrządził.",[],[],False,False,False,False,False,False
pl_defence_07_03_2025_n01.txt,7325,7392,Ale wszyscy pozostali sojusznicy jak najbardziej są do tego zdolni.,['Appeal_to_Popularity'],['Justification'],False,True,False,False,False,False
pl_defence_07_03_2025_n06.txt,4796,4818,O szczycie w Londynie?,['Doubt'],['Attack_on_Reputation'],True,False,False,False,False,False
pl_eu_03_04_2025_n07.txt,4353,4448,"Jeżeli chodzi o Węgry, to w prezydencji Węgier były priorytety, których Węgry miały się podjąć.",[],[],False,False,False,False,False,False
pl_abortion_11_04_2024_n11.txt,3782,3859,"Apeluję, byśmy przestali się dzielić na przeciwników czy zwolenników aborcji.",['Slogans'],['Call'],False,False,False,False,True,False
pl_eu_12_06_2024_n03.txt,1599,1650,Tego nie zrobiliście i jest to rzecz niezrozumiała.,['Questioning_the_Reputation'],['Attack_on_Reputation'],True,False,False,False,False,False
pl_abortion_11_04_2024_n10.txt,7498,7758,"(Poseł Witold Tumanowicz: Od samego początku był tutaj transparent przy samej mównicy i ja chciałbym bardzo zapytać o to, czy rzeczywiście będą tutaj równi i równiejsi i czy rzeczywiście będziemy przy każdym kolejnym punkcie mogli przynosić sobie transparenty.",['Doubt'],['Attack_on_Reputation'],True,False,False,False,False,False
pl_hate_speech_act_19_12_2024_n01.txt,6455,6624,"Wracam do słów pana posła, który uważa, że mowa nienawiści nie istnieje i formy dyskryminacji są pewnym, jak rozumiem, wymysłem w stosunku do osób z niepełnosprawnością.","['Obfuscation-Vagueness-Confusion', 'Straw_Man']","['Distraction', 'Manipulative_Wording']",False,False,True,False,False,True
pl_statements_20_02_2025_n02.txt,988,1259,"Tylko solidna, wspólna i skoordynowana reakcja społeczności międzynarodowej zamiast niedopuszczalnego marginalizowania Ukrainy oraz ignorowania interesów sojuszników w regionie może skutecznie przeciwdziałać rosyjskiej agresji oraz przywrócić trwały i sprawiedliwy pokój.","['Loaded_Language', 'Appeal_to_Values']","['Justification', 'Manipulative_Wording']",False,True,False,False,False,True
pl_eu_03_04_2025_n05.txt,5064,5220,"Wskazywaliśmy w trakcie prezydencji, że rozwój gospodarczy jest kluczowy i dalsze pogłębianie rynku wewnętrznego, m.in. w obszarze usług, jest bardzo ważne.",[],[],False,False,False,False,False,False
pl_current_affairs_09_01_2025_n02.txt,4795,4976,"Aby taka sama sytuacja nie spotkała mieszkańców terenów nadwiślańskich Kujaw, rząd Prawa i Sprawiedliwości podjął kluczową dla regionu decyzję o budowie stopnia wodnego w Siarzewie.",[],[],False,False,False,False,False,False
pl_eu_03_04_2025_n08.txt,6255,6559,"Ale cóż, skoro trzeba spłacać to, że wasz kolega jest tam ukrywany, to trudno się temu dziwić. (Dzwonek) Trudno się też dziwić waszym dzisiejszym słowom, temu, że jednoznacznie nie sprzeciwiacie się cłom nałożonym przez Donalda Trumpa na Polskę w momencie, kiedy takie same cła nie są nakładane na Rosję.","['Appeal_to_Hypocrisy', 'Questioning_the_Reputation']",['Attack_on_Reputation'],True,False,False,False,False,False
pl_current_affairs_09_01_2025_n02.txt,8429,8651,"W oparciu o informacje zawarte w raporcie nie można było wskazać, który wariant jest najkorzystniejszy dla środowiska i czy istnieją w ogóle przesłanki wyboru innego wariantu niż ten wskazany do realizacji przez inwestora.",[],[],False,False,False,False,False,False
pl_abortion_11_04_2024_n14.txt,2070,2076,Panie!,[],[],False,False,False,False,False,False
pl_abortion_11_04_2024_n04.txt,162,199,"Drogie Koleżanki, Siostry Aktywistki!",['Flag_Waving'],['Justification'],False,True,False,False,False,False
pl_defence_22_05_2024_n01.txt,10004,10017,Wątek unijny.,[],[],False,False,False,False,False,False
pl_eu_03_04_2025_n08.txt,1376,1407,Poseł Rafał Kasprzyk: Dziękuję.,[],[],False,False,False,False,False,False
pl_abortion_11_04_2024_n09.txt,6951,7012,Poseł Agnieszka Wojciechowska van Heukelom: Szanowni Państwo!,[],[],False,False,False,False,False,False
pl_current_affairs_09_01_2025_n02.txt,9656,9898,"Warto podkreślić, że inwestor w całym tym bardzo długim procesie od 2017 r. był wielokrotnie wzywany do przedłożenia i uzupełnienia raportu w zakresie braków ustawowych, które w tym raporcie były, jednak nie uzupełnił go zgodnie z wezwaniami.",['Doubt'],['Attack_on_Reputation'],True,False,False,False,False,False
