filename,start,end,content,techniques,persuasion_strategies,Attack_on_Reputation,Justification,Distraction,Simplification,Call,Manipulative_Wording
20240229_URW_BG_69.txt,6814,7126,"Ще Ви съберат една вечер, ще Ви кажат какво решение са взели в този затворен кръг, ще направите едно извънредно заседание на ресорната Комисия и утре сутринта, на другия ден ще ни съберете в тази зала, ще си вдигнете ръката, за да предадете българския национален интерес и ще ги пратите и в Украйна, и в Молдова!","['Questioning_the_Reputation', 'Straw_Man']","['Attack_on_Reputation', 'Distraction']",True,False,True,False,False,False
20240704_URW_BG_20.txt,4820,4883,"ЦОНЧО ГАНЕВ (ВЪЗРАЖДАНЕ, от място): За два дни ще я прекратите!",['Appeal_to_Hypocrisy'],['Attack_on_Reputation'],True,False,False,False,False,False
20231208_URW_BG_78.txt,2147,2163,Направих грешка.,[],[],False,False,False,False,False,False
20240904_EUZ_BG_43.txt,1874,1900,"Въведоха ли еврото, мишка?",['Name_Calling-Labeling'],['Attack_on_Reputation'],True,False,False,False,False,False
20240704_URW_BG_21.txt,482,721,"Трябва да обърна внимание, че миналата година, когато разглеждахме бюджет 2023 – приемането му, именно народни представители предложихме, защото правителството не го беше направило, да се увеличат с 10% възнагражденията на военнослужещите.",[],[],False,False,False,False,False,False
20240704_URW_BG_22.txt,4803,4893,"Във Ваше интервю казвате, че обмисляте възможността за връщане на наборната военна служба.",[],[],False,False,False,False,False,False
20240301_SHG_BG_58.txt,1161,1323,"Следващото изключително важно нещо, което искаме да знаем: къде са настанени хората като цяло, които са върнати в България – в София, в Пловдив, в Харманли, къде?",['Doubt'],['Attack_on_Reputation'],True,False,False,False,False,False
20231208_URW_BG_77.txt,2328,2432,Тук се предават интересите и на втората по големина българска общност зад граница след тази в Македония.,['Questioning_the_Reputation'],['Attack_on_Reputation'],True,False,False,False,False,False
20240904_EUZ_BG_43.txt,5414,5451,Тук въобще не става въпрос за валута.,[],[],False,False,False,False,False,False
trail_raw_BG_7.txt,201,280,Срещу един човек тук в залата и срещу модела на управление в последните години.,[],[],False,False,False,False,False,False
20240904_EUZ_BG_41.txt,4358,4535,"Господин Методиев – не знам, няма да Ви давам определение, но Вие казахте две от опорките, които се въртят от две години в публичното пространство и които абсолютно не са верни.",['Appeal_to_Hypocrisy'],['Attack_on_Reputation'],True,False,False,False,False,False
20240904_EUZ_BG_40.txt,3020,3101,Тук говорим не дали да сме част от еврозоната или не – тук говорим за референдум!,[],[],False,False,False,False,False,False
20240216_URW_BG_88.txt,0,66,"КОСТАДИН КОСТАДИНОВ (ВЪЗРАЖДАНЕ): Благодаря, господин Председател.",[],[],False,False,False,False,False,False
20231208_URW_BG_72.txt,3992,4061,"Наясно ли сте, че са спрени от производство преди повече от 5 години?","['Doubt', 'Repetition']","['Attack_on_Reputation', 'Manipulative_Wording']",True,False,False,False,False,True
20240111_SHG_BG_62.txt,4362,4613,"Словакия е единствената държава от еврогрупата, която има по-висока инфлация от България, няма дори теоретичен шанс да покрием критерия за инфлация в следващите три-четири месеца и няма реален шанс да се направи прецедент и България да бъде допусната.",[],[],False,False,False,False,False,False
20240704_URW_BG_21.txt,4363,4605,"Това все пак не е секретна програма, но аз не съм видял никъде репортаж – някъде по телевизиите или по радиото, където да кажат примерно: днес пет украински санитари бяха подготвени от доктор еди-кой си в Медицинската академия и така нататък.",['Doubt'],['Attack_on_Reputation'],True,False,False,False,False,False
20240726_EUZ_BG_49.txt,1173,1226,Нали знаете кога е въведен Валутният борд в България?,[],[],False,False,False,False,False,False
20240726_EUZ_BG_51.txt,7974,8316,"Ние поискахме преди две години, не преди една, преди две години поискахме и получихме – и всички Вие получихте, черновата на този доклад, който е покъртителен, който е разгромяващ за Вас, евроатлантиците, защото Ви казва ясно и категорично – влизането в еврозоната означава загуба и щети за българската икономика и за българските потребители!","['Consequential_Oversimplification', 'Name_Calling-Labeling', 'Appeal_to_Fear-Prejudice']","['Attack_on_Reputation', 'Justification', 'Simplification']",True,True,False,True,False,False
20240301_SHG_BG_58.txt,6910,6973,"То не работи от момента, в който България стана член на Шенген.",[],[],False,False,False,False,False,False
20240807_EUZ_BG_48.txt,5403,5424,Текстовете са приети.,[],[],False,False,False,False,False,False
20240904_EUZ_BG_43.txt,1158,1274,"ЯВОР БОЖАНКОВ: Никой не казва обаче какво губим, когато България забавя своя път към интеграция в сърцето на Европа.",[],[],False,False,False,False,False,False
20240726_EUZ_BG_49.txt,3284,3397,"Така че, колеги, няма разумна, няма сериозна причина при възможност 1 юли ние да отлагаме влизането в еврозоната.","['Conversation_Killer', 'Appeal_to_Time']",['Call'],False,False,False,False,True,False
20240726_EUZ_BG_51.txt,7205,7229,Вие ни повтаряте същото!,['False_Equivalence'],['Simplification'],False,False,False,True,False,False
20240704_URW_BG_30.txt,212,333,"Уважаеми господин служебен Министър-председател, уважаеми господин Министър, госпожо Заместник-министър, уважаеми колеги!",[],[],False,False,False,False,False,False
20240216_URW_BG_93.txt,5524,5622,"Не знам дали е така, но нека да отбележим следните две неща и искам Вие да акцентирате върху тях:",['Doubt'],['Attack_on_Reputation'],True,False,False,False,False,False
